year;from_country_id;to_country_id;from_country;to_country;total_points
2016;cy;lt;cy;lt;3
2016;cy;be;cy;be;0
2016;cy;nl;cy;nl;0
2016;cy;mt;cy;mt;6
2016;cy;at;cy;at;0
2016;cy;il;cy;il;5
2016;cy;lv;cy;lv;0
2016;cy;it;cy;it;3
2016;cy;az;cy;az;2
2016;cy;rs;cy;rs;0
2016;cy;hu;cy;hu;8
2016;cy;ge;cy;ge;0
2016;cy;cy;cy;cy;0
2016;cy;es;cy;es;0
2016;cy;hr;cy;hr;1
2016;cy;gb;cy;gb;0
2016;cy;cz;cy;cz;0
2016;cy;de;cy;de;0
2016;cz;ua;cz;ua;12
2016;cz;au;cz;au;1
2016;cz;ru;cz;ru;10
2016;cz;bg;cz;bg;5
2016;cz;se;cz;se;14
2016;cz;fr;cz;fr;5
2016;cz;am;cz;am;8
2016;cz;pl;cz;pl;7
2016;cz;lt;cz;lt;3
2016;cz;be;cz;be;2
2016;cz;nl;cz;nl;7
2016;cz;mt;cz;mt;6
2016;cz;at;cz;at;4
2016;cz;il;cz;il;0
2016;cz;lv;cz;lv;1
2016;cz;it;cz;it;0
2016;cz;az;cz;az;6
2016;cz;rs;cz;rs;0
2016;cz;hu;cz;hu;13
2016;cz;ge;cz;ge;0
2016;cz;cy;cz;cy;0
2016;cz;es;cz;es;0
2016;cz;hr;cz;hr;8
2016;cz;gb;cz;gb;4
2016;cz;cz;cz;cz;0
2016;cz;de;cz;de;0
2016;dk;ua;dk;ua;15
2016;dk;au;dk;au;20
2016;dk;ru;dk;ru;4
2016;dk;bg;dk;bg;6
2016;dk;se;dk;se;16
2016;dk;fr;dk;fr;2
2016;dk;am;dk;am;0
2016;dk;pl;dk;pl;5
2016;dk;lt;dk;lt;11
2016;dk;be;dk;be;16
2016;dk;nl;dk;nl;14
2016;dk;mt;dk;mt;0
2016;dk;at;dk;at;1
2016;dk;il;dk;il;2
2016;dk;lv;dk;lv;0
2016;dk;it;dk;it;0
2016;dk;az;dk;az;0
2016;dk;rs;dk;rs;0
2016;dk;hu;dk;hu;0
2016;dk;ge;dk;ge;0
2016;dk;cy;dk;cy;0
2016;dk;es;dk;es;1
2016;dk;hr;dk;hr;0
2016;dk;gb;dk;gb;3
2016;dk;cz;dk;cz;0
2016;dk;de;dk;de;0
2016;ee;ua;ee;ua;15
2016;ee;au;ee;au;14
2016;ee;ru;ee;ru;12
2016;ee;bg;ee;bg;0
2016;ee;se;ee;se;22
2016;ee;fr;ee;fr;3
2016;ee;am;ee;am;0
2016;ee;pl;ee;pl;1
2016;ee;lt;ee;lt;10
2016;ee;be;ee;be;0
2016;ee;nl;ee;nl;6
2016;ee;mt;ee;mt;2
2016;ee;at;ee;at;6
2016;ee;il;ee;il;0
2016;ee;lv;ee;lv;15
2016;ee;it;ee;it;0
2016;ee;az;ee;az;0
2016;ee;rs;ee;rs;0
2016;ee;hu;ee;hu;0
2016;ee;ge;ee;ge;0
2016;ee;cy;ee;cy;7
2016;ee;es;ee;es;0
2016;ee;hr;ee;hr;0
2016;ee;gb;ee;gb;3
2016;ee;cz;ee;cz;0
2016;ee;de;ee;de;0
2016;fi;ua;fi;ua;12
2016;fi;au;fi;au;15
2016;fi;ru;fi;ru;8
2016;fi;bg;fi;bg;4
2016;fi;se;fi;se;22
2016;fi;fr;fi;fr;4
2016;fi;am;fi;am;0
2016;fi;pl;fi;pl;5
2016;fi;lt;fi;lt;6
2016;fi;be;fi;be;0
2016;fi;nl;fi;nl;10
2016;fi;mt;fi;mt;5
2016;fi;at;fi;at;10
2016;fi;il;fi;il;7
2016;fi;lv;fi;lv;2
2016;fi;it;fi;it;2
2016;fi;az;fi;az;0
2016;fi;rs;fi;rs;0
2016;fi;hu;fi;hu;0
2016;fi;ge;fi;ge;0
2016;fi;cy;fi;cy;1
2016;fi;es;fi;es;0
2016;fi;hr;fi;hr;0
2016;fi;gb;fi;gb;0
2016;fi;cz;fi;cz;3
2016;fi;de;fi;de;0
2016;fr;ua;fr;ua;10
2016;fr;au;fr;au;6
2016;fr;ru;fr;ru;7
2016;fr;bg;fr;bg;15
2016;fr;se;fr;se;7
2016;fr;fr;fr;fr;0
2016;fr;am;fr;am;14
2016;fr;pl;fr;pl;7
2016;fr;lt;fr;lt;0
2016;fr;be;fr;be;4
2016;fr;nl;fr;nl;7
2016;fr;mt;fr;mt;4
2016;fr;at;fr;at;16
2016;fr;il;fr;il;3
2016;fr;lv;fr;lv;0
2016;fr;it;fr;it;12
2016;fr;az;fr;az;0
2016;fr;rs;fr;rs;0
2016;fr;hu;fr;hu;0
2016;fr;ge;fr;ge;0
2016;fr;cy;fr;cy;0
2016;fr;es;fr;es;4
2016;fr;hr;fr;hr;0
2016;fr;gb;fr;gb;0
2016;fr;cz;fr;cz;0
2016;fr;de;fr;de;0
2016;ge;ua;ge;ua;22
2016;ge;au;ge;au;9
2016;ge;ru;ge;ru;8
2016;ge;bg;ge;bg;3
2016;ge;se;ge;se;6
2016;ge;fr;ge;fr;4
2016;ge;am;ge;am;12
2016;ge;pl;ge;pl;4
2016;ge;lt;ge;lt;10
2016;ge;be;ge;be;10
2016;ge;nl;ge;nl;0
2016;ge;mt;ge;mt;0
2016;ge;at;ge;at;0
2016;ge;il;ge;il;3
2016;ge;lv;ge;lv;13
2016;ge;it;ge;it;0
2016;ge;az;ge;az;7
